trading day, Stock price
444,67.9921
445,68.0832
446,68.9933
447,69.4788
448,69.5453
449,69.6385
450,69.2153
451,67.9092
452,67.9172
453,67.848
454,69.2488
455,69.2923
456,67.5067
457,67.1347
458,65.8355
459,65.673
460,64.9669
461,65.0129
462,65.0145
463,65.6035
464,66.6994
465,66.8053
466,67.6148
467,67.8551
468,66.541
469,66.1139
470,66.4605
471,65.8959
472,66.5139
473,66.6953
474,65.7475
475,65.8461
476,65.4631
477,65.0462
478,65.7051
479,65.0943
480,64.8437
481,64.4914
482,63.7492
483,62.6069
484,63.568
485,64.9643
486,64.6921
487,65.4292
488,65.67
489,65.1864
490,66.0215
491,66.3649
492,66.9653
493,66.5496
494,67.1141
495,67.2667
496,67.4159
497,67.4954
498,67.2228
499,66.3078
500,66.4394
501,66.4999
502,66.7693
503,67.2773
504,67.0536
505,67.0506
506,66.7591
507,67.264
508,67.7203
509,68.1377
510,67.7139
511,66.4814
512,66.0109
513,66.7129
514,66.6912
515,66.7551
516,67.6241
517,66.2665
518,66.5992
519,66.8962
520,68.7874
521,68.5518
522,68.9377
523,68.3503
524,69.7633
525,68.4889
526,67.3644
527,68.9881
528,69.8405
529,68.8816
530,69.6203
531,69.7704
532,70.3716
533,69.724
534,69.8411
535,70.5898
536,71.39
537,72.2215
538,72.469
539,73.7722
540,74.055
541,74.6437
542,75.4031
543,75.397
544,75.5484
545,76.6804
546,76.1529
547,76.1996
548,76.146
549,75.9691
550,74.5875
551,73.9608
552,75.5088
553,76.8505
554,76.9614
555,77.0872
556,75.9545
557,75.7195
558,75.69
559,76.1945
560,75.4423
561,77.1552
562,77.3349
563,77.8663
564,77.3703
565,78.571
566,78.6894
567,78.1563
568,77.8126
569,77.0922
570,77.8198
571,78.1364
572,77.9035
573,77.7758
574,77.2898
575,76.1929
576,76.494
577,76.5659
578,76.2434
579,76.9461
580,77.1813
581,78.2921
582,79.5555
583,78.9165
584,78.7863
585,79.422
586,77.417
587,76.3736
588,75.4763
589,75.3645
590,75.2814
591,75.8347
592,75.5861
593,76.8707
594,77.1639
595,77.6753
596,77.7853
597,78.9728
598,78.7531
599,79.0948
600,78.5002
601,78.7217
602,78.6161
603,77.6031
604,77.9619
605,79.1033
606,79.153
607,78.5317
608,78.2515
609,77.8998
610,79.1653
611,80.4732
612,82.1263
613,82.4818
614,81.7957
615,81.4877
616,79.7157
617,79.7139
618,79.577
619,80.4067
620,79.5416
621,80.5511
622,81.0487
623,79.7691
624,78.9115
625,79.0113
626,79.0032
627,78.789
628,79.8132
629,80.1284
630,80.1555
631,81.4056
632,80.3384
633,79.9448
634,80.0287
635,79.8716
636,80.722
637,82.1442
638,82.6411
639,82.7491
640,83.1521
641,84.015
642,85.5221
643,87.0204
644,86.6184
645,86.8045
646,87.4351
647,86.322
648,86.2702
649,85.9655
650,85.8065
651,85.1379
652,84.6231
653,85.4195
654,85.0038
655,83.7714
656,85.1156
657,86.0036
658,85.0666
659,85.5765
660,85.7371
661,85.0551
662,84.5574
663,84.5105
664,83.209
665,83.6389
666,82.726
667,81.8983
668,81.2464
669,80.9405
670,80.0271
671,81.2446
672,81.7193
673,80.3467
674,79.271
675,79.0176
676,77.8964
677,78.5361
678,77.9935
679,78.9657
680,79.5887
681,79.4731
682,79.2588
683,80.2036
684,79.7183
685,79.2416
686,78.0319
687,76.9235
688,77.6394
689,76.6033
690,76.2802
691,75.8128
692,76.3008
693,77.3399
694,77.4676
695,77.1829
696,76.6546
697,77.4801
698,76.6779
699,75.8004
700,76.6277
701,77.2237
702,77.7872
703,77.5746
704,77.9783
705,77.8265
706,76.4409
707,76.5599
708,76.4887
709,74.0241
710,74.172
711,73.7195
712,72.8254
713,73.3534
714,73.2377
715,73.982
716,73.8476
717,73.2269
718,72.2661
719,72.6163
720,74.2444
721,74.069
722,73.6901
723,73.1996
724,73.8684
725,73.6997
726,72.5927
727,72.3722
728,72.3928
729,71.693
730,71.463
731,71.0589
732,71.215
733,70.107
734,70.1192
735,69.8895
736,70.3664
737,70.693
738,71.629
739,70.9182
740,70.4488
741,70.7556
742,71.836
743,72.7516
744,73.0447
745,73.3049
746,73.4369
747,73.7392
748,74.541
749,74.0146
750,74.0394
751,72.8738
752,72.1941
753,71.7676
754,71.4653
755,72.1024
756,72.733
757,72.081
758,71.6939
759,74.3193
760,73.8697
761,72.9008
762,72.1264
763,73.383
764,73.6603
765,74.3755
766,74.2783
767,73.6681
768,73.7288
769,74.4995
770,74.0377
771,74.9604
772,75.2493
773,75.5013
774,75.4629
775,75.2585
776,73.9901
777,73.5529
778,73.286
779,74.1426
780,74.1207
781,74.3249
782,74.7184
783,73.9375
784,73.2578
785,73.9022
786,73.0882
787,72.5755
788,72.9246
789,72.0456
790,72.029
791,72.5067
792,72.6374
793,73.5276
794,74.1626
795,73.3933
796,73.2161
797,73.0884
798,73.0399
799,73.1801
800,73.282
801,73.5541
802,73.5114
803,73.0795
804,72.9722
805,73.7848
806,73.1065
807,73.0658
808,73.1487
809,72.3805
810,70.8809
811,71.2252
812,70.5186
813,70.9957
814,71.6906
815,72.4112
816,72.1648
817,73.0036
818,73.6271
819,74.1269
820,74.7397
821,74.8666
822,75.8648
823,75.5524
824,76.0515
825,75.3321
826,76.4478
827,76.4781
828,76.638
829,75.3513
830,75.0905
831,74.642
832,74.8952
833,75.5886
834,74.5
835,74.5119
836,74.7699
837,74.9169
838,75.5171
839,75.9649
840,77.081
841,77.1311
842,78.0104
843,77.8515
844,78.4457
845,77.7072
846,76.9774
847,76.5758
848,76.1876
849,75.15
850,76.9358
851,77.8271
852,77.7964
853,78.2738
854,78.6983
855,77.9006
856,78.7148
857,78.7033
858,78.9764
859,78.5301
860,79.3586
861,78.8077
862,79.1131
863,78.2809
864,78.3618
865,78.7761
866,78.5153
867,78.6447
868,77.9213
869,76.8595
870,76.4245
871,75.6196
872,74.1443
873,73.2648
874,73.3421
875,74.237
876,73.073
877,73.0064
878,73.4986
879,71.9191
880,71.1508
881,71.9745
882,70.2919
883,69.1583
884,68.9012
885,69.263
886,69.9049
887,69.3641
888,69.841
889,69.1854
890,69.9323
891,69.5333
892,68.3394
893,68.8697
894,68.6585
895,69.2524
896,69.2589
897,68.4747
898,68.8525
899,69.8611
900,69.7483
901,69.9534
902,69.7437
903,70.6171
904,70.6126
905,70.2131
906,70.446
907,70.9654
908,70.5037
909,69.5192
910,69.6892
911,68.8421
912,68.6052
913,68.6691
914,69.5208
915,69.2966
916,67.889
917,66.6266
918,66.327
919,66.7177
920,67.4799
921,66.0574
922,64.7109
923,65.6825
924,65.6967
925,65.3396
926,65.4026
927,65.5822
928,64.8044
929,65.6194
930,66.0155
931,64.5579
932,64.5378
933,65.0661
934,65.4487
935,65.5885
936,66.0715
937,66.43
938,67.0951
939,67.2903
940,67.1877
941,68.3482
942,69.53
943,69.2585
944,68.2741
945,67.9797
946,69.4895
947,69.5413
948,68.8603
949,69.3801
950,70.5664
951,69.9914
952,70.4838
953,70.0525
954,71.4472
955,71.8243
956,72.7008
957,72.3758
958,71.2696
959,73.4187
960,74.9099
961,77.1331
962,77.6777
963,77.5809
964,77.2352
965,77.9693
966,78.5087
967,77.0462
968,78.9255
969,78.2622
970,78.3024
971,79.1745
972,79.2777
973,79.018
974,79.5765
975,80.0552
976,80.9951
977,81.2216
978,80.9603
979,82.2868
980,82.7658
981,82.5666
982,81.2405
983,80.1771
984,78.9542
985,78.8287
986,79.4077
987,77.2539
988,77.0668
989,77.1113
990,77.3191
991,79.1896
992,79.4862
993,80.2351
994,82.0558
995,81.2309
996,80.9862
997,81.7001
998,80.7587
999,81.806
1000,81.0247
1001,81.219
1002,81.3759
1003,80.3203
1004,80.1169
1005,79.5429
